0.01,0.0073,1,0,0,0,-0.4088,0
0.01,0.008,1,0.0007,0.069,6.8671,-0.4099,-0.0012
0.01,0.0096,1,0.0023,0.156,8.6542,-0.4129,-0.0042
0.01,0.0122,0.9999,0.0049,0.2609,10.4418,-0.4185,-0.0097
0.01,0.0159,0.9999,0.0086,0.3662,10.4828,-0.4268,-0.0181
0.01,0.0206,0.9999,0.0133,0.4715,10.4841,-0.438,-0.0292
0.01,0.0264,0.9998,0.0191,0.5768,10.4856,-0.4519,-0.0432
0.01,0.0331,0.9998,0.0258,0.6812,10.6519,-0.4685,-0.0597
0.01,0.041,0.9997,0.0337,0.7846,10.2747,-0.4878,-0.079
0.01,0.0497,0.9996,0.0424,0.8899,10.6727,-0.5099,-0.1012
0.01,0.0597,0.9995,0.0524,0.9938,10.3144,-0.5349,-0.1261
0.01,0.0708,0.9994,0.0635,1.0997,10.5419,-0.5629,-0.1542
0.01,0.0827,0.9993,0.0754,1.2049,10.6166,-0.5936,-0.1849
0.01,0.0959,0.9992,0.0886,1.3089,10.3511,-0.6272,-0.2184
0.01,0.1101,0.999,0.1028,1.4148,10.5529,-0.6638,-0.2551
0.01,0.1251,0.9988,0.1178,1.52,10.6146,-0.7032,-0.2944
0.01,0.1414,0.9986,0.1341,1.624,10.3794,-0.7455,-0.3367
0.01,0.1587,0.9984,0.1514,1.7298,10.5675,-0.7909,-0.3822
0.01,0.1771,0.9981,0.1698,1.8351,10.5319,-0.8393,-0.4306
0.01,0.1965,0.9978,0.1892,1.9404,10.5378,-0.8907,-0.482
0.01,0.2169,0.9975,0.2096,2.0456,10.5441,-0.9452,-0.5364
0.01,0.2385,0.9971,0.2312,2.1508,10.4698,-1.0029,-0.5941
0.01,0.2609,0.9967,0.2537,2.2571,10.6839,-1.0637,-0.6549
0.01,0.2846,0.9962,0.2773,2.3617,10.4453,-1.1276,-0.7188
0.01,0.3093,0.9957,0.302,2.4679,10.6186,-1.1949,-0.7861
0.01,0.3349,0.9951,0.3277,2.5735,10.5848,-1.2653,-0.8566
0.01,0.3618,0.9945,0.3545,2.679,10.5192,-1.3392,-0.9305
0.01,0.3896,0.9938,0.3824,2.7855,10.6476,-1.4166,-1.0079
0.01,0.4185,0.993,0.4113,2.8914,10.6147,-1.4973,-1.0885
0.01,0.4485,0.9922,0.4413,2.9972,10.5532,-1.5815,-1.1728
0.01,0.4795,0.9913,0.4723,3.1039,10.6804,-1.6694,-1.2607
0.01,0.5115,0.9903,0.5043,3.2101,10.6484,-1.7607,-1.3519
0.01,0.5446,0.9893,0.5375,3.316,10.5904,-1.8557,-1.4469
0.01,0.5789,0.9881,0.5718,3.4227,10.6486,-1.9547,-1.546
0.01,0.6142,0.9868,0.607,3.5299,10.7321,-2.0576,-1.6488
0.01,0.6506,0.9855,0.6434,3.6364,10.6336,-2.1643,-1.7555
0.01,0.6879,0.984,0.6808,3.7438,10.7613,-2.275,-1.8662
0.01,0.7263,0.9824,0.7193,3.8504,10.6642,-2.3896,-1.9809
0.01,0.7659,0.9806,0.7589,3.9577,10.726,-2.5086,-2.0999
0.01,0.8066,0.9788,0.7996,4.0653,10.7438,-2.632,-2.2232
0.01,0.8482,0.9768,0.8413,4.1734,10.8285,-2.7596,-2.3508
0.01,0.8909,0.9746,0.884,4.2806,10.7341,-2.8914,-2.4827
